timestamp,transaction_type,token,amount
1571964723,WITHDRAWAL,BTC,0.987034
1571964638,WITHDRAWAL,BTC,0.874843
1571964575,DEPOSIT,ETH,0.812558
1571964490,WITHDRAWAL,BTC,0.004961
1571964443,DEPOSIT,XRP,0.097368
1571964421,WITHDRAWAL,ETH,0.186947
1571964374,WITHDRAWAL,ETH,0.650059
1571964323,WITHDRAWAL,ETH,0.227028
1571964260,DEPOSIT,XRP,0.464974
1571964256,WITHDRAWAL,ETH,0.304374
1571964240,DEPOSIT,ETH,0.765674
1571964170,DEPOSIT,XRP,0.402188
1571964095,WITHDRAWAL,ETH,0.009697
1571964076,WITHDRAWAL,BTC,0.401726
1571964019,WITHDRAWAL,XRP,0.240768
1571963951,WITHDRAWAL,ETH,0.34225
1571963940,DEPOSIT,XRP,0.105994
1571963874,DEPOSIT,XRP,0.245242
1571963804,WITHDRAWAL,ETH,0.96243
1571963788,DEPOSIT,XRP,0.00521
1571963729,WITHDRAWAL,XRP,0.368835
1571963696,DEPOSIT,BTC,0.595896
1571963611,WITHDRAWAL,XRP,0.173078
1571963554,WITHDRAWAL,BTC,0.158923
1571963487,DEPOSIT,BTC,0.918003
1571963470,DEPOSIT,BTC,0.794169
1571963374,WITHDRAWAL,XRP,0.787157
1571963276,DEPOSIT,XRP,0.842281
1571963212,DEPOSIT,ETH,0.226513
1571963153,DEPOSIT,BTC,0.683598
1571963133,DEPOSIT,BTC,0.984541
1571963133,DEPOSIT,XRP,0.028055
1571963050,DEPOSIT,BTC,0.226891
1571962959,WITHDRAWAL,XRP,0.890174
1571962883,DEPOSIT,BTC,0.875022
1571962811,DEPOSIT,XRP,0.569361
1571962773,WITHDRAWAL,XRP,0.644261
1571962717,DEPOSIT,ETH,0.848705
1571962653,WITHDRAWAL,XRP,0.09163
1571962647,WITHDRAWAL,ETH,0.466294
1571962614,DEPOSIT,BTC,0.488433
1571962557,WITHDRAWAL,BTC,0.667648
1571962525,DEPOSIT,BTC,0.459287
1571962475,WITHDRAWAL,BTC,0.367034
1571962448,DEPOSIT,BTC,0.644462
1571962354,DEPOSIT,BTC,0.368687
1571962300,DEPOSIT,ETH,0.439298
1571962268,DEPOSIT,BTC,0.160028
1571962260,WITHDRAWAL,ETH,0.116838
1571962201,WITHDRAWAL,BTC,0.300603
1571962196,WITHDRAWAL,XRP,0.520672
1571962133,WITHDRAWAL,ETH,0.226442
1571962132,DEPOSIT,BTC,0.723286
1571962096,WITHDRAWAL,BTC,0.215204
1571961997,WITHDRAWAL,BTC,0.999347
1571961943,WITHDRAWAL,ETH,0.450927
1571961853,WITHDRAWAL,BTC,0.559812
1571961805,WITHDRAWAL,ETH,0.915196
1571961706,WITHDRAWAL,ETH,0.980358
1571961663,DEPOSIT,BTC,0.528773
1571961652,WITHDRAWAL,XRP,0.882968
1571961626,DEPOSIT,ETH,0.4025
1571961544,WITHDRAWAL,BTC,0.902429
1571961543,WITHDRAWAL,XRP,0.404586
1571961519,WITHDRAWAL,ETH,0.808027
1571961476,DEPOSIT,ETH,0.936093
1571961453,WITHDRAWAL,ETH,0.476381
1571961406,DEPOSIT,BTC,0.435003
1571961380,DEPOSIT,XRP,0.490516
1571961352,DEPOSIT,BTC,0.729912
1571961299,DEPOSIT,ETH,0.813151
1571961223,DEPOSIT,BTC,0.783873
1571961128,WITHDRAWAL,ETH,0.620823
1571961107,DEPOSIT,BTC,0.873505
1571961104,DEPOSIT,BTC,0.131635
1571961035,WITHDRAWAL,ETH,0.994364
1571960944,WITHDRAWAL,XRP,0.314995
1571960861,DEPOSIT,ETH,0.521464
1571960775,DEPOSIT,ETH,0.370962
1571960692,DEPOSIT,BTC,0.698245
1571960689,WITHDRAWAL,XRP,0.081113
1571960656,DEPOSIT,XRP,0.772721
1571960600,WITHDRAWAL,BTC,0.95954
1571960593,WITHDRAWAL,BTC,0.021037
1571960583,WITHDRAWAL,BTC,0.258409
1571960494,WITHDRAWAL,XRP,0.055682
1571960433,WITHDRAWAL,BTC,0.507611
1571960417,DEPOSIT,BTC,0.19586
1571960417,WITHDRAWAL,ETH,0.961621
1571960377,DEPOSIT,XRP,0.447851
1571960335,WITHDRAWAL,BTC,0.275658
1571960277,DEPOSIT,ETH,0.497178
1571960185,DEPOSIT,XRP,0.806973
1571960121,DEPOSIT,ETH,0.052234
1571960081,DEPOSIT,XRP,0.935798
1571959996,DEPOSIT,BTC,0.301072
1571959944,WITHDRAWAL,BTC,0.900465
1571959880,DEPOSIT,BTC,0.763405
1571959783,DEPOSIT,BTC,0.768876
1571959721,WITHDRAWAL,ETH,0.198234
1571959686,DEPOSIT,BTC,0.944896
1571959685,DEPOSIT,BTC,0.690398
1571959632,WITHDRAWAL,ETH,0.958403
1571959550,DEPOSIT,BTC,0.585393
1571959451,WITHDRAWAL,ETH,0.32396
1571959365,DEPOSIT,ETH,0.957136
1571959300,DEPOSIT,ETH,0.667254
1571959255,DEPOSIT,XRP,0.686319
1571959164,WITHDRAWAL,BTC,0.285294
1571959073,DEPOSIT,ETH,0.820971
1571959035,DEPOSIT,XRP,0.474099
1571959002,DEPOSIT,ETH,0.662791
1571958915,DEPOSIT,BTC,0.207566
1571958847,DEPOSIT,ETH,0.961605
1571958817,DEPOSIT,XRP,0.946733
1571958761,DEPOSIT,XRP,0.148141
1571958676,DEPOSIT,BTC,0.814478
1571958644,DEPOSIT,XRP,0.905062
1571958564,DEPOSIT,XRP,0.868441
1571958530,WITHDRAWAL,BTC,0.697631
1571958441,DEPOSIT,XRP,0.343305
1571958343,DEPOSIT,XRP,0.411096
1571958247,WITHDRAWAL,XRP,0.084057
1571958150,DEPOSIT,ETH,0.00551
1571958085,DEPOSIT,XRP,0.559799
1571958076,WITHDRAWAL,ETH,0.326629
1571958012,DEPOSIT,XRP,0.031598
1571957928,WITHDRAWAL,BTC,0.38605
1571957904,WITHDRAWAL,ETH,0.258196
1571957839,WITHDRAWAL,ETH,0.900707
1571957765,DEPOSIT,BTC,0.385376
1571957683,WITHDRAWAL,ETH,0.710487
1571957625,WITHDRAWAL,BTC,0.803046
1571957623,WITHDRAWAL,BTC,0.813089
1571957529,WITHDRAWAL,ETH,0.846909
1571957433,WITHDRAWAL,BTC,0.080572
1571957364,WITHDRAWAL,ETH,0.521519
1571957293,WITHDRAWAL,BTC,0.719311
1571957201,DEPOSIT,XRP,0.698991
1571957121,DEPOSIT,BTC,0.870171
1571957045,DEPOSIT,BTC,0.584881
1571957027,WITHDRAWAL,BTC,0.353822
1571956957,WITHDRAWAL,ETH,0.422066
1571956908,DEPOSIT,BTC,0.52333
1571956871,DEPOSIT,ETH,0.367267
1571956804,DEPOSIT,ETH,0.686614
1571956717,DEPOSIT,XRP,0.810129
1571956628,WITHDRAWAL,XRP,0.632437
1571956541,DEPOSIT,BTC,0.350614
1571956461,DEPOSIT,BTC,0.858163
1571956380,DEPOSIT,ETH,0.645154
1571956332,WITHDRAWAL,XRP,0.230195
1571956306,DEPOSIT,XRP,0.746063
1571956237,DEPOSIT,ETH,0.7005
1571956152,DEPOSIT,BTC,0.804386
1571956092,DEPOSIT,BTC,0.940083
1571955998,DEPOSIT,XRP,0.531057
1571955927,WITHDRAWAL,XRP,0.445283
1571955841,DEPOSIT,BTC,0.970061
1571955782,DEPOSIT,XRP,0.741384
1571955683,DEPOSIT,BTC,0.743456
1571955669,WITHDRAWAL,ETH,0.525168
1571955571,WITHDRAWAL,BTC,0.054882
1571955497,WITHDRAWAL,BTC,0.948568
1571955445,WITHDRAWAL,XRP,0.481468
1571955393,WITHDRAWAL,ETH,0.470246
1571955335,DEPOSIT,ETH,0.930199
1571955289,DEPOSIT,ETH,0.027794
1571955192,DEPOSIT,BTC,0.557247
1571955178,DEPOSIT,ETH,0.384026
1571955153,DEPOSIT,ETH,0.605966
1571955149,DEPOSIT,BTC,0.64272
1571955080,DEPOSIT,XRP,0.044143
1571955027,DEPOSIT,ETH,0.9758
1571954999,WITHDRAWAL,ETH,0.744603
1571954974,DEPOSIT,BTC,0.918713
1571954921,DEPOSIT,BTC,0.553253
1571954893,DEPOSIT,BTC,0.786975
1571954867,DEPOSIT,XRP,0.417464
1571954860,DEPOSIT,ETH,0.841305
1571954844,DEPOSIT,XRP,0.527658
1571954760,DEPOSIT,ETH,0.550277
1571954682,DEPOSIT,XRP,0.938988
1571954588,WITHDRAWAL,BTC,0.599759
1571954580,DEPOSIT,BTC,0.940446
1571954512,DEPOSIT,ETH,0.187759
1571954512,DEPOSIT,BTC,0.302949
1571954477,DEPOSIT,BTC,0.789718
1571954418,DEPOSIT,ETH,0.464318
1571954372,DEPOSIT,XRP,0.4225
1571954345,WITHDRAWAL,XRP,0.943088
1571954314,DEPOSIT,BTC,0.487146
1571954265,DEPOSIT,XRP,0.520286
1571954204,WITHDRAWAL,XRP,0.382456
1571954134,WITHDRAWAL,ETH,0.386462
1571954082,WITHDRAWAL,ETH,0.806232
1571954081,WITHDRAWAL,BTC,0.527723
1571954014,DEPOSIT,BTC,0.610872
1571953955,DEPOSIT,BTC,0.968138
1571953891,DEPOSIT,XRP,0.328582
1571953890,DEPOSIT,BTC,0.734029
1571953887,DEPOSIT,XRP,0.266452
1571953811,DEPOSIT,XRP,0.850645
1571953750,WITHDRAWAL,XRP,0.003562
1571953730,DEPOSIT,ETH,0.443315
1571953683,WITHDRAWAL,BTC,0.479544
1571953591,WITHDRAWAL,XRP,0.52177
1571953584,WITHDRAWAL,ETH,0.837758
1571953521,WITHDRAWAL,BTC,0.221286
1571953432,WITHDRAWAL,BTC,0.53478
1571953351,DEPOSIT,ETH,0.876073
